takbaku,baku
kegiatn,kegiatan
trmasuk,termasuk
skalian,sekalian
hadehhh,hadeh
jelasssss,jelas
ajaa,aja
didlm,di dalam
krna,karena
looo,lo
seh,sih
sudab,sudah
karna,karena
wkwkwkw,wkwk
ciyeee,cie
drpd,daripada
aplg,apalagi
mikiirrrr,mikir
mo,mau
gara²,gara
jl,jalan
dprd,daripada
bgtu,begitu
huahahahahaha,haha
halaaah,halah
kcuali,kecuali
laah,lah
laahh,lah
mgkin,mungkin
sudaj,sudah
ampai,sampai
ug,juga
mikiiirrrrr,mikir
anehhh,aneh
lassss,las
terusss,terus
hahahah,haha
mantaaapppp,mantap
djarumny,djarum
taw,tahu
bgt,banget
blajar,belajar
tmsk,termasuk
cma,Cuma
hrg,harga
jkt,jakarta
b,biasa
emank,emang
wkwkwkwk,wkwk
tivi,tv
hhh,haha
bgitu,begitu
ono,itu
past,pasti
hhhmmm,hmm
gmn,bagaimana
utk,untuk
ina,indonesia
hrus,harus
huahahahahaaaaa,haha
mlh,milih
weeekkkkkkkkkkkkk,wek
ekting,akting
dmana,dimana
cem,kayak
nh,nih
gank,gang
lagii,lagi
huahahah,haha
ngak,tidak
lngsung,langsung
hny,hanya
dhe,deh
sebag,sebagai
sbg,sebagai
ssdh,sudah
siy,sih
waraass,waras
ja,aja
karton,kartun
sopo,siapa
teruuuss,terus
tuo,tua
sgt,sangat
btl,betul
ahahah,haha
uintuk,untuk
zoonk,zonk
pdhal,padahal
bsnya,bisanya
hmmmmmm,hmm
wakakakak,wkwk
bnr,benar
bangsad,bangsat
uiiiiii,ui
d,di
ahh,ah
sya,saya
ny,nya
sprti,seperti
bgni,begini
eeeeeehhhhh,eh
shg,sehingga
mnding,mending
guwe,gue
ntu,itu
jlebbb,jleb
bocorrrrrrr,bocor
jdarum,djarum
doangg,doang
mantullllllll,mantap
bgini,begini
kegiaan,kegiatan
kapir,kafir
wanjayy,anjay
samoe,sampai
gerammmm,geram
karenaa,karena
amatt,amat
kikikikikik,kikik
biaskop,bioskop
sm,sama
taik,tai
slo,slow
krena,karena
jdilah,jadilah
buaanyaaak,banyak
wkwkwkwkwkkw,wkwk
bosss,bos
wkwkwkkkk,wkwk
ytb,youtube
wkwkwkwkwkwk,wkwk
amad,amat
donggg,dong
kale,kali
b kep,bokep
cape,capek
asikkk,asik
mmng,memang
sblah,sebelah
qlo,kalau
gjelas,gajelas
pikiiiiiiir,pikir
hah,haha
wakakakakak,wkwk
dossssss,dos
ap,apa
kmaren,kemarin
jangkrikkkkkk,jangkrik
bagemana,bagaimana
klu,kalau
pebruari,februari
sinarm s,sinarmas
haalllloooo,halo
br,baru
mkn,makin
sebnrnya,sebenernya
lbih,lebih
sich,sih
brarti,berarti
tugasxa,tugasnya
pa,apa
ckckckckckc,ckck
siangapore,singapore
civitaa,civitas
hadehh,hadeh
tlg,tolong
jiaaah,jiah
da,ada
gad,tidak ada
krn,karena
asiik,asik
sik,nanti
mampuss,mampus
wong,orang
mayoritaz,mayoritas
wohh,who
jkrta,jakarta
kntl,kontol
jdjarum,djarum
orba,orde baru
tdak,tidak
berenxana,berencana
mknya,makanya
srby,surabaya
penyusupppp,penyusup
